Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,2017
Jefferson NEM,"1,954,810","2,360,109","2,436,110","2,259,020","2,496,726","2,377,258","1,817,091","1,698,656","1,271,855",,,"1,398,188"
Jewel Cave NM,"100,481","129,595","103,462","77,146","109,300","98,259","104,348","116,444","137,275",,,"144,537"
Jimmy Carter NHS,"82,417","69,972","64,849","66,157","69,940","67,455","62,057","67,797","66,441",,,"60,735"
"John D. Rockefeller, Jr. MEM PKWY","1,099,060","1,139,923","1,222,931","1,147,986","1,197,750","1,228,502","1,264,842","1,430,337","1,411,819",,,"1,433,292"
John Day Fossil Beds NM,"112,578","130,925","135,151","148,002","148,152","156,285","183,420","196,277","210,110",,,"214,557"
John F. Kennedy NHS,"10,090","16,333","17,466","18,466","22,642","17,273","26,273","18,485","25,467",,,"30,399"
John Muir NHS,"28,770","34,516","34,904","31,236","37,403","37,777","41,535","42,615","49,376",,,"46,876"
Johnstown Flood NMEM,"135,308","114,350","100,799","105,906","123,081","121,923","141,354","163,431","154,931",,,"171,376"
Joshua Tree NP,"1,392,446","1,304,471","1,434,976","1,396,237","1,396,117","1,383,340","1,589,904","2,025,756","2,505,286",,,"2,853,619"
Kalaupapa NHP,"60,934","30,654","27,919","57,841","58,875","101,112","67,210","67,891","71,527",,,"76,512"
Kaloko Honokohau NHP,"104,835","166,380","132,731","162,906","153,584","158,124","154,206","170,683","185,041",,,"196,857"
Katmai NP & PRES,"7,970","43,035","55,172","48,939","39,818","28,966","30,896","37,818","37,818",,,"37,818"
Kenai Fjords NP,"272,190","218,358","297,596","346,852","281,279","283,502","270,666","296,697","346,534",,,"303,598"
Kennesaw Mountain NBP,"1,415,917","1,372,228","1,512,191","1,748,436","1,935,909","1,924,076","2,119,013","2,174,870","2,360,256",,,"2,593,725"
Keweenaw NHP,,,,,,,,,"14,612",,,"16,479"
Kings Canyon NP,"574,870","609,296","598,205","566,810","591,033","567,544","502,268","468,106","607,479",,,"692,932"
Kings Mountain NMP,"254,997","277,576","275,555","272,325","265,713","247,632","251,093","257,077","263,357",,,"291,841"
Klondike Gold Rush NHP Alaska,"935,940","880,512","797,716","795,150","854,250","928,150","1,085,202","919,661","912,351",,,"906,485"
Klondike Gold Rush NHP Seattle,"58,389","54,219","65,870","64,898","60,198","61,942","62,022","60,372","69,435",,,"84,759"
Knife River Indian Villages NHS,"24,798","29,390","21,721","16,025","16,010","14,476","10,750","11,377","13,328",,,"11,644"
Kobuk Valley NP,"1,565","1,879","3,164","11,485","29,550","16,875",0,0,"15,500",,,"15,500"
Korean War Veterans Memorial,"3,654,976","3,117,046","3,072,716","3,073,430","3,267,124","3,209,279","3,767,287","4,077,835","4,084,298",,,"4,155,947"
Lake Chelan NRA,"25,139","34,554","39,249","43,827","40,830","37,315","35,360","32,186","45,514",,,"38,464"
Lake Clark NP & PRES,"6,802","9,711","9,931","5,158","11,639","13,000","16,100","17,818","21,102",,,"22,755"
Lake Mead NRA,"7,601,863","7,668,689","7,080,758","6,396,682","6,285,439","6,344,714","6,942,873","7,298,465","7,175,891",,,"7,882,339"
Lake Meredith NRA,"875,280","1,080,644","883,586","734,030","502,457","554,272","692,195","831,374","1,025,613",,,"1,329,076"
Lake Roosevelt NRA,"1,337,024","1,382,663","1,324,074","1,523,474","1,781,972","1,254,409","1,180,898","1,170,843","1,253,571",,,"1,304,403"
Lassen Volcanic NP,"377,361","365,639","384,570","351,269","407,653","427,409","432,977","468,092","536,068",,,"507,256"
Lava Beds NM,"120,076","129,639","130,765","124,113","181,429","105,395","138,499","108,687","127,699",,,"135,286"
LBJ Memorial Grove on the Potomac,"411,164","333,368","230,694","239,058","371,063","294,979","254,167","232,882","260,234",,,"277,403"
Lewis & Clark NHP,"230,057","225,846","218,553","191,867","201,704","217,022","244,921","270,410","281,576",,,"293,356"
Lincoln Boyhood NMEM,"147,123","182,172","126,228","108,420","133,550","125,069","99,795","111,711","125,562",,,"143,651"
Lincoln Home NHS,"335,473","464,074","354,125","296,214","295,464","209,405","218,132","233,299","239,719",,,"232,265"
Lincoln Memorial,"4,678,861","5,255,570","6,042,315","5,971,220","6,191,361","6,546,518","7,139,072","7,941,771","7,915,934",,,"7,956,117"
Little Bighorn Battlefield NM,"282,233","302,811","320,959","312,168","346,327","277,883","281,436","317,782","332,328",,,"296,128"
